,price,retail_price,units_sold,uses_ad_boosts,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,countries_shipped_to,urgency_text,merchant_rating_count,merchant_rating
517,8.0,140,10000,1,1141.0,329.0,212.0,88.0,140.0,blue,S,50,Livraison standard,3,19,None,2050,4.1678048780487815
421,8.0,7,10000,0,748.0,417.0,331.0,194.0,316.0,white,XS,50,Standard Shipping,3,31,Quantité limitée !,13946,4.000143410296859
1480,16.0,14,5000,1,251.0,106.0,108.0,70.0,152.0,orange,S,20,Livraison standard,4,26,None,2363,3.853575962759205
1332,8.0,8,10000,1,843.0,484.0,350.0,182.0,328.0,blue,2XS,20,Livraison standard,2,38,None,70773,4.038319698189988
1484,8.0,11,10000,1,742.0,397.0,274.0,124.0,178.0,white,M,50,Livraison standard,2,37,None,4907,4.240676584471164
300,8.0,118,10000,0,1158.0,545.0,370.0,181.0,265.0,white_black,S,50,Livraison standard,2,43,None,23485,4.02469661486055
973,8.0,7,10000,1,545.0,306.0,261.0,152.0,209.0,black,M,50,Livraison standard,3,39,None,11148,4.180749910297811
1005,8.0,7,10000,0,1315.0,482.0,383.0,180.0,183.0,black,M,50,Livraison standard,2,40,None,110548,4.143666099793755
1490,8.0,108,10000,0,786.0,304.0,223.0,109.0,137.0,white,S,50,Livraison standard,2,41,None,5316,4.224604966139955
392,8.0,8,10000,1,777.0,367.0,241.0,112.0,115.0,black,S,50,Livraison standard,3,42,None,35262,3.9394815949180417
85,8.0,7,10000,1,593.0,278.0,232.0,124.0,177.0,pink,M,1,Livraison standard,2,48,None,4178,3.9375299186213497
742,8.0,7,10000,1,624.0,262.0,246.0,122.0,213.0,black,4XL,50,Livraison standard,3,41,Quantité limitée !,8563,3.8971154969052897
930,8.0,7,10000,0,889.0,427.0,291.0,144.0,207.0,blue,S,50,Livraison standard,2,25,None,61895,4.268002261895145
810,8.0,30,10000,1,777.0,274.0,155.0,55.0,91.0,green,S,50,Livraison standard,2,33,None,25356,3.9025477204606407
339,8.0,25,10000,0,1009.0,401.0,358.0,212.0,344.0,yellow,S,50,Livraison standard,3,39,None,30292,4.227584840882081
1493,8.0,7,10000,1,884.0,343.0,331.0,184.0,327.0,black,5XL,50,Livraison standard,3,38,None,12006,3.9012160586373485
1280,8.0,84,10000,0,2077.0,783.0,446.0,192.0,181.0,black,M,50,Livraison standard,3,37,None,80713,4.1878136111902675
873,8.0,47,10000,1,945.0,333.0,201.0,62.0,90.0,grey,XS,6,Livraison standard,3,38,None,1659,4.321880650994575
784,8.0,7,10000,0,626.0,176.0,138.0,48.0,99.0,black,S,50,Livraison standard,2,21,Quantité limitée !,4019,3.9609355561084847
1164,8.0,47,10000,0,1316.0,487.0,286.0,116.0,155.0,red,S,50,Livraison standard,2,45,None,139788,4.166509285489456
1036,16.0,56,5000,0,433.0,132.0,80.0,59.0,77.0,other,XS,50,Livraison standard,4,18,Quantité limitée !,12083,4.2667383927832505
308,8.0,7,10000,1,351.0,192.0,184.0,110.0,224.0,purple,M,30,Livraison standard,3,28,None,88193,4.0808907736441675
1456,8.0,8,10000,0,1124.0,389.0,200.0,69.0,76.0,blue,S,50,Livraison standard,3,41,None,19879,3.994718044167211
443,8.0,22,10000,0,395.0,177.0,135.0,64.0,133.0,black,S,50,Livraison standard,3,43,Quantité limitée !,6651,4.084799278304016
243,8.0,13,10000,0,1428.0,522.0,385.0,171.0,247.0,grey,S,50,Livraison standard,3,44,None,33148,3.97562447206468
1375,16.0,34,5000,1,976.0,328.0,162.0,70.0,76.0,black,M,9,Livraison standard,5,39,Quantité limitée !,228676,4.23090311182634
1374,8.0,7,10000,1,1070.0,460.0,373.0,181.0,357.0,white,S,50,Livraison standard,3,41,Quantité limitée !,39381,4.0663264010563465
979,8.0,16,10000,0,770.0,391.0,248.0,77.0,103.0,white,S,9,Livraison standard,2,43,None,3665,4.194270122783084
895,8.0,7,10000,0,366.0,168.0,129.0,76.0,125.0,white,S,50,Livraison standard,3,24,None,4295,3.8495925494761347
1236,8.0,7,10000,0,1253.0,470.0,390.0,233.0,401.0,blue,M,50,Livraison standard,3,43,None,65189,4.049640276733805
611,8.0,7,10000,0,570.0,245.0,276.0,190.0,368.0,red,S,11,Livraison standard,2,30,None,6818,3.9823995306541513
1076,8.0,84,10000,0,528.0,283.0,245.0,144.0,354.0,white,S,50,Livraison standard,2,37,None,80713,4.1878136111902675
1208,3.92,4,20000,1,1975.0,793.0,682.0,397.0,520.0,black,M,7,Livraison standard,1,36,None,55499,4.138885385322259
1075,3.92,4,20000,1,1975.0,793.0,682.0,397.0,520.0,black,M,7,Livraison standard,1,36,Quantité limitée !,55499,4.138885385322259
431,3.79,49,20000,0,4299.0,1527.0,1177.0,527.0,882.0,red,XS,2,Livraison standard,1,8,None,56999,4.0468253829014555
994,15.0,13,5000,0,498.0,220.0,197.0,108.0,234.0,red,S,10,Livraison standard,4,42,None,19184,4.471017514595498
1460,15.0,13,5000,1,467.0,220.0,163.0,73.0,149.0,green,S,50,Livraison standard,4,28,None,24095,3.818634571487861
459,15.0,13,5000,0,836.0,306.0,221.0,103.0,166.0,blue,S,34,Livraison standard,4,41,None,32323,4.040497478575627
1497,3.66,4,20000,0,4130.0,994.0,409.0,148.0,201.0,other,OTHER,50,Livraison standard,1,49,None,100789,4.462302433797339
1424,3.65,4,20000,1,2184.0,717.0,605.0,271.0,438.0,khaki,OTHER,50,Livraison standard,1,81,None,4570,4.196498905908096
995,14.0,27,5000,0,573.0,250.0,227.0,139.0,253.0,black,M,50,Livraison standard,4,43,Quantité limitée !,7874,3.95999491998984
411,14.0,12,5000,1,365.0,109.0,73.0,33.0,63.0,blue,2XS,2,Livraison standard,3,43,None,80093,4.006692220293909
202,7.0,6,10000,1,951.0,368.0,285.0,144.0,230.0,white,XS,10,Livraison standard,2,20,None,7069,4.055028999858537
332,7.0,6,10000,0,660.0,264.0,301.0,162.0,399.0,pink,S,4,Livraison standard,2,47,None,3566,3.7324733595064497
528,7.0,9,10000,1,1253.0,351.0,139.0,42.0,53.0,black,S,50,Livraison standard,2,43,Quantité limitée !,8727,4.161796722814255
1496,7.0,6,10000,0,1122.0,520.0,386.0,173.0,226.0,pink,S,50,Livraison standard,2,48,None,32168,3.8845436458592384
604,7.0,16,10000,1,583.0,189.0,153.0,80.0,111.0,white,L,50,Livraison standard,2,54,None,3977,4.145335680160925
741,7.0,26,10000,0,1009.0,399.0,300.0,143.0,241.0,white,S,50,Livraison standard,2,33,None,5534,3.999819298879653
1019,14.0,12,5000,0,428.0,174.0,143.0,60.0,107.0,white,S,50,Livraison standard,4,41,None,38258,3.955434157561817
1310,7.0,7,10000,0,550.0,257.0,171.0,86.0,129.0,black_blue,XS,50,Livraison standard,2,31,Quantité limitée !,17816,4.179445442299056
37,14.0,12,5000,1,365.0,109.0,73.0,33.0,63.0,blue,2XS,2,Livraison standard,3,43,None,80093,4.006692220293909
210,7.0,16,10000,0,802.0,331.0,255.0,146.0,258.0,red,S,50,Livraison standard,2,45,None,1702,3.907168037602821
565,7.0,6,10000,0,1891.0,631.0,367.0,99.0,91.0,other,M,41,Livraison standard,2,37,None,9661,4.293240865334853
340,7.0,6,10000,0,885.0,366.0,230.0,139.0,177.0,other,S,50,Livraison standard,2,32,None,9938,4.124874220165023
350,14.0,12,5000,1,780.0,431.0,317.0,147.0,217.0,black,M,48,Livraison standard,3,37,None,16447,4.030461482337205
629,7.0,6,10000,1,892.0,491.0,456.0,247.0,418.0,pink,2XS,6,Livraison standard,2,39,None,25260,3.995605700712589
330,14.0,89,5000,1,227.0,134.0,98.0,64.0,124.0,orange,S,9,Livraison standard,3,40,None,5985,4.231746031746032
362,14.0,12,5000,1,365.0,109.0,73.0,33.0,63.0,blue,2XS,2,Livraison standard,3,43,Quantité limitée !,80093,4.006692220293909
461,7.0,6,10000,0,2050.0,550.0,276.0,87.0,115.0,red,S,2,Livraison standard,2,17,None,11264,4.101384943181818
502,14.0,13,5000,0,1201.0,398.0,241.0,94.0,148.0,black,S,50,Livraison standard,3,31,None,5841,4.2177709296353365
965,7.0,6,10000,0,1325.0,521.0,360.0,134.0,143.0,black,S,50,Livraison standard,2,31,None,34311,4.066217831016292
1467,7.0,9,10000,1,801.0,270.0,158.0,66.0,83.0,green,S,10,Livraison standard,2,43,Quantité limitée !,42919,4.105967054218412
1169,14.0,84,5000,0,388.0,165.0,69.0,23.0,41.0,grey,M,50,Livraison standard,3,40,None,32386,4.260791700117335
892,7.0,84,10000,0,1269.0,485.0,355.0,153.0,264.0,purple,S,50,Livraison standard,2,41,None,10501,4.029235310922768
486,14.0,68,5000,1,248.0,153.0,135.0,67.0,131.0,white,S,50,Livraison standard,3,40,None,13075,4.226462715105162
451,7.0,13,10000,0,170.0,89.0,91.0,72.0,145.0,green,M,50,Standard Shipping,2,42,Quantité limitée !,5934,3.849511290866195
1277,7.0,23,10000,0,1125.0,374.0,324.0,170.0,166.0,black,XS,50,Livraison standard,2,40,Quantité limitée !,213709,4.2938996485875665
1503,14.0,12,5000,0,963.0,334.0,250.0,119.0,197.0,pink,S,50,Livraison standard,4,41,None,31916,4.105777666374232
1228,14.0,26,5000,0,251.0,80.0,47.0,24.0,35.0,white,S,50,Livraison standard,3,43,None,4220,4.109952606635071
657,7.0,7,10000,0,303.0,154.0,134.0,81.0,121.0,blue,S,50,Livraison standard,2,45,None,59234,3.9870513556403417
1272,13.0,68,5000,0,488.0,228.0,168.0,87.0,124.0,black,S,50,Livraison standard,3,66,Quantité limitée !,24306,4.236690529087468
327,13.0,11,5000,1,569.0,278.0,175.0,67.0,135.0,red,XL,34,Livraison standard,3,19,None,56745,3.9810732223103362
134,13.0,17,5000,0,450.0,150.0,88.0,35.0,69.0,pink,XS,6,Livraison standard,3,43,Quantité limitée !,4571,3.910741632028002
125,13.0,51,5000,0,59.0,16.0,20.0,7.0,25.0,yellow,S,50,Livraison standard,3,43,Quantité limitée !,17244,3.9464161447459984
600,13.0,68,5000,1,486.0,239.0,161.0,49.0,85.0,black,M,50,Livraison standard,3,38,Quantité limitée !,165915,4.256076906849893
342,12.0,11,5000,0,146.0,58.0,59.0,38.0,133.0,pink,XS,3,Envio Padrão,3,29,None,6876,3.775450843513671
659,12.0,26,5000,0,385.0,119.0,84.0,28.0,47.0,white,S,50,Livraison standard,3,43,Quantité limitée !,18029,4.1006156747462414
584,6.0,6,10000,0,1032.0,341.0,185.0,57.0,54.0,green,OTHER,50,Livraison standard,2,49,None,2736,4.3238304093567255
317,12.0,11,5000,0,305.0,161.0,140.0,97.0,184.0,blue,S,50,Livraison standard,3,14,None,1021,3.681684622918707
708,6.0,17,10000,0,2091.0,612.0,336.0,109.0,131.0,black,OTHER,3,Envio Padrão,2,40,None,110548,4.143666099793755
710,12.0,11,5000,0,135.0,37.0,32.0,17.0,26.0,brown,S,50,Livraison standard,3,41,None,31916,4.105777666374232
1465,6.0,7,10000,0,537.0,264.0,187.0,91.0,159.0,black,XS,50,Livraison standard,2,31,Quantité limitée !,5993,4.055231102953447
297,3.0,3,20000,1,1573.0,546.0,374.0,147.0,186.0,purple,S,6,Livraison standard,1,49,None,55670,4.1214837434884135
298,12.0,26,5000,0,385.0,119.0,84.0,28.0,47.0,white,S,50,Livraison standard,3,43,None,18029,4.1006156747462414
1384,6.0,10,10000,0,794.0,291.0,215.0,92.0,104.0,black,S,50,Livraison standard,2,25,Quantité limitée !,2359,4.188215345485375
237,6.0,6,10000,1,243.0,90.0,88.0,59.0,89.0,pink,XS,2,Livraison standard,2,20,Quantité limitée !,7314,3.938200710965272
948,6.0,142,10000,1,912.0,349.0,288.0,131.0,261.0,green,S,20,Livraison standard,2,41,None,31559,4.123419626730885
209,6.0,76,10000,1,1074.0,324.0,191.0,73.0,79.0,black,S,50,Livraison standard,2,32,None,28159,4.183387194147518
88,12.0,17,5000,0,189.0,76.0,67.0,21.0,34.0,white,S,50,Livraison standard,3,43,None,1288,3.978260869565217
1408,12.0,11,5000,0,216.0,90.0,86.0,43.0,83.0,pink,XS,50,Livraison standard,3,43,None,13127,4.1239430182067505
951,6.0,31,10000,0,1442.0,635.0,401.0,137.0,174.0,white,S,50,Livraison standard,2,45,None,11596,4.280441531562608
1184,12.0,16,5000,0,245.0,109.0,103.0,87.0,157.0,other,S,50,Livraison standard,3,20,None,3990,3.897243107769424
1554,12.0,11,5000,0,301.0,173.0,148.0,72.0,87.0,blue,M,50,Livraison standard,3,139,None,779,3.776636713735559
101,6.0,8,10000,0,685.0,257.0,187.0,72.0,137.0,black,L,50,Livraison standard,2,43,None,54504,3.80168428005284
1216,12.0,168,5000,0,288.0,113.0,60.0,26.0,42.0,black,OTHER,50,Livraison standard,3,52,Quantité limitée !,73595,4.38569196276921
1218,6.0,8,10000,1,477.0,180.0,152.0,70.0,131.0,purple,S,50,Livraison standard,2,6,Quantité limitée !,10665,4.073792780121893
1061,6.0,6,10000,0,1789.0,459.0,300.0,110.0,150.0,other,S,50,Ekspresowa wysyłka,7,39,Quantité limitée !,33675,4.314149962880475
378,12.0,59,5000,0,137.0,64.0,69.0,40.0,61.0,white,S,50,Standard Shipping,3,41,None,3592,4.062360801781737
1062,12.0,13,5000,1,104.0,25.0,28.0,12.0,23.0,pink,L,50,Livraison standard,3,42,None,571,4.017513134851138
1194,6.0,6,10000,1,648.0,233.0,180.0,76.0,107.0,black_white,S,47,Livraison standard,2,35,Quantité limitée !,12974,3.965700632033297
1514,6.0,6,10000,1,337.0,124.0,98.0,38.0,64.0,grey,S,50,Livraison standard,2,35,None,14095,4.089677190493083
366,6.0,9,10000,0,1123.0,468.0,354.0,117.0,149.0,pink,S,50,Livraison standard,2,41,None,55089,4.032946686271306
1568,6.0,9,10000,1,722.0,293.0,185.0,77.0,90.0,blue,S,50,Livraison standard,2,41,None,5316,4.224604966139955
82,5.9,5,10000,0,867.0,298.0,299.0,151.0,318.0,grey,XS,4,Livraison standard,1,30,None,2366,3.951817413355875
1224,5.85,5,10000,0,402.0,172.0,168.0,96.0,166.0,black,XS,50,Livraison standard,2,20,None,7314,3.938200710965272
242,5.84,5,10000,0,491.0,217.0,228.0,145.0,231.0,grey,S,43,Livraison standard,1,48,None,32168,3.8845436458592384
79,5.83,5,10000,1,1162.0,488.0,212.0,83.0,110.0,white,S,1,Standardowa wysyłka,1,35,None,126370,4.14695734747171
231,5.78,26,10000,0,659.0,287.0,219.0,112.0,149.0,white,S,50,Livraison standard,2,37,None,3549,3.9822485207100593
263,5.77,5,10000,0,1352.0,574.0,443.0,227.0,296.0,black,S,50,Livraison standard,2,43,None,19735,3.975069673169496
824,5.74,5,10000,1,981.0,434.0,368.0,220.0,363.0,white,M,1,Livraison standard,1,50,Quantité limitée !,59903,4.153665091898569
724,5.74,5,10000,1,981.0,434.0,368.0,220.0,363.0,white,M,1,Livraison standard,1,50,None,59903,4.153665091898569
361,5.68,7,10000,0,588.0,250.0,188.0,81.0,125.0,blue,3XL,50,Livraison standard,1,41,None,7544,4.05448038176034
499,5.66,5,10000,1,1245.0,418.0,247.0,68.0,90.0,grey,2XL,50,Livraison standard,1,138,None,2174765,4.356187909958088
483,2.83,3,20000,1,732.0,322.0,264.0,147.0,277.0,grey,XS,5,Livraison standard,1,20,None,3791,3.918754945924558
286,5.65,25,10000,0,180.0,74.0,65.0,36.0,63.0,purple,OTHER,50,Livraison standard,1,43,None,23465,4.01760068186661
1423,11.0,10,5000,0,168.0,69.0,56.0,37.0,72.0,black,S,50,Livraison standard,3,41,None,20037,3.8800718670459644
107,11.0,10,5000,0,743.0,338.0,258.0,110.0,107.0,black,S,50,Livraison standard,3,23,None,4610,4.252711496746204
351,11.0,10,5000,1,735.0,295.0,134.0,55.0,54.0,other,XS,50,Livraison standard,2,38,Quantité limitée !,67171,4.1023209420732165
292,11.0,88,5000,0,819.0,323.0,188.0,71.0,113.0,other,S,25,Livraison standard,3,35,None,35751,4.0221532264831765
206,11.0,12,5000,0,383.0,181.0,188.0,109.0,184.0,black,S,50,Livraison standard,2,79,None,1490,3.946308724832215
1222,11.0,10,5000,0,168.0,69.0,56.0,37.0,72.0,black,S,50,Livraison standard,3,41,Quantité limitée !,20037,3.8800718670459644
1294,11.0,10,5000,0,244.0,90.0,67.0,36.0,50.0,green,M,50,Livraison standard,2,52,None,5042,4.146568821896073
20,11.0,10,5000,0,506.0,274.0,216.0,81.0,106.0,green,S,50,Livraison standard,3,69,None,23609,4.256597060443052
1091,11.0,10,5000,1,400.0,210.0,144.0,64.0,83.0,green,S,50,Livraison standard,2,35,Quantité limitée !,12441,3.924684510891408
738,11.0,11,5000,1,515.0,265.0,238.0,115.0,196.0,black,M,50,Livraison standard,2,44,Quantité limitée !,246312,4.2037253564584764
1357,11.0,38,5000,0,236.0,46.0,33.0,23.0,39.0,yellow,XS,2,Livraison standard,2,28,None,602,4.17109634551495
695,11.0,10,5000,0,669.0,302.0,328.0,196.0,402.0,white,XS,3,Livraison standard,3,30,None,5660,3.958303886925795
902,11.0,11,5000,1,777.0,298.0,185.0,54.0,87.0,white,XL,41,Livraison standard,2,37,None,13879,4.054470783197637
232,11.0,10,5000,0,658.0,217.0,131.0,33.0,70.0,black,M,50,Livraison standard,2,48,Quantité limitée !,5781,4.274865940148763
140,11.0,10,5000,0,447.0,201.0,135.0,81.0,144.0,white,M,50,Livraison standard,2,25,Quantité limitée !,61895,4.268002261895145
1064,11.0,10,5000,0,343.0,157.0,139.0,68.0,122.0,black,S,50,Livraison standard,3,24,Quantité limitée !,10474,3.908535421042582
839,11.0,50,5000,0,305.0,164.0,155.0,107.0,138.0,black,M,50,Livraison standard,2,43,None,36361,3.9675201452105284
1377,11.0,26,5000,1,867.0,275.0,190.0,99.0,140.0,white,M,50,Livraison standard,3,46,None,47476,4.465350914146095
1308,11.0,17,5000,0,217.0,125.0,128.0,68.0,154.0,red,XS,50,Livraison standard,3,37,Quantité limitée !,4830,3.8430641821946168
64,11.0,10,5000,0,447.0,201.0,135.0,81.0,144.0,white,M,50,Livraison standard,2,25,None,61895,4.268002261895145
1000,11.0,10,5000,0,456.0,148.0,72.0,20.0,32.0,blue,XS,15,Livraison standard,2,20,None,8500,4.081176470588234
476,11.0,108,5000,0,72.0,47.0,59.0,36.0,85.0,orange,S,50,Livraison standard,3,52,None,2608,3.8730828220858897
919,11.0,10,5000,1,85.0,35.0,38.0,26.0,65.0,black,S,35,Livraison standard,2,28,None,88193,4.0808907736441675
439,11.0,10,5000,0,340.0,129.0,106.0,35.0,44.0,black,M,14,Livraison standard,3,54,None,8117,4.064925465073303
730,11.0,10,5000,0,268.0,132.0,169.0,129.0,210.0,black_other,S,50,Livraison standard,2,24,None,2127,3.8175834508697695
1243,11.0,10,5000,0,387.0,163.0,104.0,46.0,56.0,white_green,S,50,Livraison standard,2,14,None,8821,3.872009976193176
1180,11.0,38,5000,0,699.0,283.0,211.0,102.0,138.0,white,S,50,Livraison standard,2,63,Quantité limitée !,30225,4.267890818858561
369,2.71,3,20000,0,3502.0,1523.0,1145.0,416.0,436.0,grey,S,50,Livraison standard,1,38,Quantité limitée !,151249,4.04915734980066
1211,2.65,3,20000,0,1232.0,593.0,622.0,327.0,669.0,orange,XS,50,Livraison standard,1,31,None,68022,4.320587456999206
501,5.0,5,10000,1,555.0,182.0,172.0,81.0,119.0,pink,M,2,Livraison standard,2,50,None,59903,4.153665091898569
1198,5.0,25,10000,1,300.0,80.0,52.0,34.0,28.0,white,XS,35,Livraison standard,2,43,None,4524,3.865384615384616
593,5.0,5,10000,0,1228.0,552.0,394.0,165.0,218.0,blue,S,10,Livraison standard,1,48,None,32168,3.8845436458592384
44,5.0,5,10000,1,1467.0,607.0,558.0,241.0,335.0,white,OTHER,50,Livraison standard,1,63,Quantité limitée !,27055,4.151395305858436
71,4.94,5,10000,1,659.0,255.0,199.0,101.0,117.0,black_green,M,6,Livraison standard,1,49,None,55670,4.1214837434884135
1500,4.8100000000000005,5,10000,0,449.0,140.0,135.0,77.0,102.0,purple,XS,3,Livraison standard,1,40,None,45964,3.998651118266469
158,4.8100000000000005,76,10000,0,1695.0,721.0,416.0,140.0,163.0,purple,S,45,Livraison standard,1,39,None,24564,3.9288796612929486
1504,4.67,4,10000,1,1116.0,357.0,300.0,142.0,236.0,blue,OTHER,50,Livraison standard,1,138,Réduction sur les achats en gros,96838,4.264658501827795
637,4.67,4,10000,1,597.0,164.0,84.0,25.0,66.0,white,OTHER,50,Livraison standard,1,138,None,96838,4.264658501827795
617,4.66,5,10000,0,973.0,300.0,187.0,58.0,76.0,pink,S,50,Livraison standard,1,41,None,85562,4.394591056777541
735,9.0,8,5000,0,358.0,169.0,147.0,64.0,118.0,pink,M,50,Стандартная доставка,3,43,Quantité limitée !,5083,3.9474719653747785
855,9.0,50,5000,0,388.0,198.0,168.0,77.0,154.0,black,S,50,Livraison standard,3,43,None,7889,3.9950564076562296
1492,9.0,8,5000,0,233.0,97.0,95.0,53.0,115.0,yellow,S,50,Standard Shipping,3,32,None,1821,3.9813289401427783
1515,9.0,51,5000,0,173.0,46.0,18.0,15.0,31.0,black,S,50,Livraison standard,3,43,Quantité limitée !,80093,4.006692220293909
538,9.0,8,5000,1,361.0,137.0,117.0,53.0,72.0,grey,XS,2,Livraison standard,3,26,None,24771,4.047959307254451
776,9.0,8,5000,1,471.0,185.0,96.0,36.0,39.0,blue,M,50,Livraison standard,3,43,None,14275,4.091418563922942
1439,9.0,8,5000,1,217.0,96.0,102.0,42.0,44.0,white,M,50,Livraison standard,3,43,Quantité limitée !,11505,4.136723163841808
685,9.0,8,5000,0,213.0,133.0,133.0,97.0,201.0,khaki,S,50,Livraison standard,3,24,Quantité limitée !,10474,3.908535421042582
936,9.0,8,5000,0,358.0,169.0,147.0,64.0,118.0,pink,M,50,Стандартная доставка,3,43,None,5083,3.9474719653747785
513,9.0,8,5000,0,445.0,159.0,103.0,45.0,75.0,black,S,50,Livraison standard,3,42,None,124563,4.193588786397245
508,9.0,8,5000,1,740.0,405.0,345.0,164.0,272.0,black,2XL,50,Livraison standard,3,41,None,73271,3.954443094812409
1420,9.0,8,5000,1,572.0,221.0,123.0,46.0,90.0,black,S,50,Livraison standard,3,33,None,16013,4.1088490601386365
474,9.0,33,5000,0,356.0,111.0,103.0,59.0,90.0,black,S,50,Livraison standard,3,45,None,139788,4.166509285489456
1545,9.0,8,5000,0,698.0,205.0,108.0,47.0,62.0,black,S,50,Livraison standard,3,39,None,24564,3.9288796612929486
1049,9.0,8,5000,1,217.0,96.0,102.0,42.0,44.0,white,M,50,Livraison standard,3,43,None,11505,4.136723163841808
650,9.0,19,5000,1,317.0,100.0,66.0,44.0,61.0,white,M,50,Livraison standard,3,64,None,1181,4.01524132091448
1422,9.0,8,5000,0,725.0,274.0,160.0,73.0,104.0,blue,S,3,Livraison standard,3,36,None,12933,4.044769195082347
1356,9.0,8,5000,1,735.0,250.0,107.0,23.0,38.0,yellow,M,20,Livraison standard,3,36,None,55499,4.138885385322259
1070,9.0,8,5000,0,311.0,109.0,83.0,43.0,67.0,red,XS,50,Livraison standard,3,21,None,4335,4.057208765859285
1412,9.0,13,5000,1,431.0,207.0,185.0,78.0,116.0,black,OTHER,50,Livraison standard,3,36,None,2359,4.058499364137346
159,9.0,8,5000,0,476.0,128.0,90.0,34.0,33.0,red,M,50,Livraison standard,3,55,None,5819,4.151916136793264
450,9.0,8,5000,0,185.0,83.0,81.0,30.0,50.0,red,S,50,Livraison standard,3,41,None,1029,3.8211856171039846
57,9.0,8,5000,0,400.0,142.0,103.0,45.0,53.0,orange,S,50,Livraison standard,3,41,Quantité limitée !,20681,3.9993714037038823
582,9.0,8,5000,0,381.0,145.0,144.0,83.0,125.0,grey,S,48,Livraison standard,3,20,Quantité limitée !,3915,3.9862068965517237
54,9.0,8,5000,1,464.0,178.0,126.0,52.0,69.0,blue_pink,L,50,Envío normal,3,33,None,16013,4.1088490601386365
227,8.0,8,5000,1,295.0,119.0,87.0,42.0,36.0,black,M,50,Livraison standard,2,41,Quantité limitée !,23832,4.020434709634105
433,2.0,3,20000,0,3566.0,1389.0,942.0,352.0,440.0,white,S,50,Livraison standard,1,38,None,151249,4.04915734980066
1419,8.0,42,5000,0,720.0,176.0,75.0,41.0,26.0,black,M,50,Livraison standard,3,48,None,5781,4.274865940148763
1007,8.0,7,5000,0,1582.0,524.0,278.0,137.0,216.0,pink,S,50,Livraison standard,3,36,Quantité limitée !,68339,4.298745957652292
441,8.0,7,5000,1,360.0,132.0,116.0,55.0,94.0,grey,S,50,Livraison standard,3,44,None,246312,4.2037253564584764
1519,8.0,7,5000,1,117.0,42.0,23.0,15.0,22.0,purple,M,17,Livraison standard,3,23,None,12309,4.0451702006661785
1421,8.0,7,5000,0,523.0,147.0,87.0,32.0,41.0,other,S,50,Envío normal,3,36,Quantité limitée !,9200,4.289673913043479
14,2.0,2,20000,1,984.0,481.0,459.0,206.0,327.0,yellow,S,1,Livraison standard,1,36,None,55499,4.138885385322259
3,8.0,8,5000,1,295.0,119.0,87.0,42.0,36.0,black,M,50,Livraison standard,2,41,None,23832,4.020434709634105
1011,4.0,4,10000,0,1115.0,445.0,291.0,144.0,155.0,red,S,50,Livraison standard,1,41,None,230951,4.311065983693512
1233,8.0,65,5000,0,752.0,300.0,156.0,76.0,82.0,black,L,50,Livraison standard,2,93,None,20824,4.063724548597772
755,8.0,8,5000,0,304.0,122.0,68.0,23.0,38.0,white,M,50,Livraison standard,3,41,None,9678,3.799958669146518
410,8.0,27,5000,1,447.0,203.0,145.0,62.0,64.0,black,S,1,Livraison standard,3,43,None,41906,4.2164129241636035
826,8.0,58,5000,0,288.0,207.0,190.0,99.0,136.0,green,S,5,Livraison standard,3,43,None,4632,4.192789291882556
1429,8.0,7,5000,1,394.0,182.0,172.0,92.0,143.0,red,XS,4,Livraison standard,3,139,None,4921,4.1310709205446035
750,8.0,7,5000,1,243.0,122.0,142.0,99.0,137.0,green,L,31,Livraison standard,3,48,None,4178,3.9375299186213497
260,8.0,7,5000,1,111.0,64.0,63.0,33.0,38.0,white,S,50,Livraison standard,2,41,Quantité limitée !,5365,3.9459459459459465
259,4.0,4,10000,1,504.0,299.0,211.0,129.0,269.0,white,2XS,46,Livraison standard,1,45,Quantité limitée !,21412,4.149262096020923
1167,8.0,7,5000,0,530.0,163.0,82.0,39.0,56.0,other,S,50,Livraison standard,2,21,None,2380,4.251260504201681
723,8.0,7,5000,0,440.0,207.0,233.0,139.0,229.0,black,M,50,Livraison standard,3,43,None,14194,4.041214597717345
1013,8.0,7,5000,0,502.0,161.0,136.0,54.0,104.0,purple,XS,50,Livraison standard,2,21,None,4373,4.178367253601646
1359,8.0,50,5000,1,625.0,213.0,134.0,44.0,41.0,pink,S,50,Livraison standard,3,27,Quantité limitée !,7631,3.863844843401913
283,8.0,7,5000,1,536.0,212.0,180.0,63.0,70.0,black,S,50,Livraison standard,2,43,Quantité limitée !,42919,4.105967054218412
150,8.0,25,5000,0,19.0,5.0,1.0,3.0,4.0,blue,XS,50,Livraison standard,3,43,Quantité limitée !,13127,4.1239430182067505
591,8.0,9,5000,1,411.0,158.0,102.0,56.0,48.0,blue,S,50,Livraison standard,2,43,Quantité limitée !,42919,4.105967054218412
596,8.0,7,5000,1,639.0,288.0,173.0,72.0,97.0,other,2XS,10,Livraison standard,2,38,None,39395,4.054423150145958
1021,8.0,7,5000,1,421.0,142.0,147.0,75.0,132.0,green,2XS,10,Livraison standard,2,38,None,8166,4.175851089884889
1162,8.0,17,5000,1,394.0,156.0,104.0,60.0,73.0,black,M,50,Livraison standard,2,43,None,2700,4.046296296296297
